male,round,trial_round,date,motif_count.x,motif_count.y,motif_prop,temp_mean,humidity_mean,chamber,counter,test_order,temp_target,temp_median,motif_rate,mass,bill_length,bill_depth,bill_width,bill_date,n_obs_completed,motif_count_plus_1,log_motif_count_plus_1,temp,count_total_round,n_obs_round,count_mean_round,count_sd_round,count_cv_round,count_total,n_obs,count_mean,trial,motif_prop_round,weights,svp,vpd,vpd_offset,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_length_sum,song_length_sd,song_motif_length_mean,song_motif_length_sd,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,motif,post_song_motif,notes,song_start,song_end,song_length,date_file,motif_misc
T229,3,4,2022-06-30,101,105,0.055100927441352976,41.7671082,23.3200883,5,KIM,4,42,43.5,3.37,NA,NA,NA,NA,,TRUE,102,4.624972813284271,41.7671082,608,5,121.6,51.34978091481988,0.42228438252318984,1833,13,141,12,0.16611842105263158,0.00980392156862745,84.78448647647033,65.01266936545589,NA,29,79,2.7241379310344827,1.1617890060511336,104,1.7630582475450018,1.2983579638752052,0.295375285938681,12,0.1518987341772152,NA,NA,NA,26,NA,,NA,NA,NA,NA,26
T229,3,5,2022-07-02,203,200,0.11074740861974905,30.6452328,38.36640798,5,KIM,5,27,31,6.77,NA,NA,NA,NA,,TRUE,204,5.318119993844216,30.6452328,608,5,121.6,51.34978091481988,0.42228438252318984,1833,13,141,13,0.3338815789473684,0.004901960784313725,45.16798350594228,27.83865067771336,NA,52,168,3.230769230769231,1.0406518435225336,204,1.4258970873701717,1.215705128205128,0.19757278412689355,19,0.1130952380952381,NA,NA,NA,32,NA,,NA,NA,NA,NA,32
T230,1,1,2022-02-23,0,0,0,44.23656,18.96505,6,KIM,1,42,44,NA,NA,NA,NA,NA,NA,FALSE,1,0,44.23656,0,5,0,0,NA,29,13,2.230769230769231,1,NA,1,96.92584591841694,78.5438107770662,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,1,2,2022-02-25,0,0,0,34.48656,24.73118,6,KIM,2,35,35,NA,NA,NA,NA,NA,NA,FALSE,1,0,34.48656,0,5,0,0,NA,29,13,2.230769230769231,2,NA,1,56.431807439334456,42.47555556425926,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,1,3,2022-02-27,0,0,0,46.6129,12.38172,6,KIM,3,44,46,NA,NA,NA,NA,NA,NA,FALSE,1,0,46.6129,0,5,0,0,NA,29,13,2.230769230769231,3,NA,1,110.03317320817936,96.40917379442759,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,1,4,2022-03-01,0,0,0,41.0914,13.24194,6,KIM,4,40,41,NA,NA,NA,NA,NA,NA,FALSE,1,0,41.0914,0,5,0,0,NA,29,13,2.230769230769231,4,NA,1,81.70584906772102,70.88640955768284,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,1,5,2022-03-03,0,0,0,27.46505,25,6,KIM,5,27,27.5,NA,NA,NA,NA,NA,NA,FALSE,1,0,27.46505,0,5,0,0,NA,29,13,2.230769230769231,5,NA,1,37.40329809470431,28.052473571028234,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,2,1,2022-05-24,0,0,0,38.49727,23.69809,4,KIM,NA,40,39,NA,NA,NA,NA,NA,NA,TRUE,1,0,38.49727,0,3,0,0,NA,29,13,2.230769230769231,6,NA,1,70.78435147071073,54.00981215326537,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,2,2,2022-05-26,0,0,0,38.6694,24.19809,4,KIM,NA,40,39,NA,NA,NA,NA,NA,NA,TRUE,1,0,38.6694,0,3,0,0,NA,29,13,2.230769230769231,7,NA,1,71.46678761143367,54.17319002511011,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,2,3,2022-05-28,0,0,0,38.60109,24.22268,4,KIM,NA,40,39.5,NA,NA,NA,NA,NA,NA,TRUE,1,0,38.60109,0,3,0,0,NA,29,13,2.230769230769231,8,NA,1,71.19526836825656,53.94986633627256,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,3,1,2022-06-06,9,9,0.3103448275862069,39.2935982,24.34492274,6,KIM,1,40,40.5,0.3,18.5,8.2,7.4,6.5,06/23/22,TRUE,10,2.302585092994046,39.2935982,29,5,5.8,6.016643582596529,1.0373523418269879,29,13,2.230769230769231,9,0.3103448275862069,0.1,73.9906139831845,55.9776561741266,NA,3,9,3,2.6457513110645907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,3,2,2022-06-08,0,0,0,33.4254967,35.40286976,6,KIM,2,35,34,0,NA,NA,NA,NA,,TRUE,1,0,33.4254967,29,5,5.8,6.016643582596529,1.0373523418269879,29,13,2.230769230769231,10,0,1,53.09544513487569,34.298133845283395,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T230,3,3,2022-06-10,14,14,0.4827586206896552,41.3907285,22.30905077,6,KIM,3,42,42.5,0.47,NA,NA,NA,NA,,TRUE,15,2.70805020110221,41.3907285,29,5,5.8,6.016643582596529,1.0373523418269879,29,13,2.230769230769231,11,0.4827586206896552,0.06666666666666667,83.0572288729467,64.52794951552592,NA,3,14,4.666666666666667,2.0816659994661326,9,1.7320508075688772,0.626984126984127,0.11251941967268116,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,0
T230,3,4,2022-06-12,6,6,0.20689655172413793,30.9966887,35.25662252,6,KIM,4,27,31,0.2,NA,NA,NA,NA,,TRUE,7,1.9459101490553132,30.9966887,29,5,5.8,6.016643582596529,1.0373523418269879,29,13,2.230769230769231,12,0.20689655172413793,0.14285714285714285,46.10828864315761,29.8520633658075,NA,2,6,3,0,5,0.7071067811865476,0.8333333333333333,0.23570226039551587,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,0
T230,3,5,2022-06-14,0,0,0,42.6244469,28.18086283,6,KIM,5,44,43.5,0,NA,NA,NA,NA,,TRUE,1,0,42.6244469,29,5,5.8,6.016643582596529,1.0373523418269879,29,13,2.230769230769231,13,0,1,88.83794360861727,63.802644579280084,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
