male,date,motif_count,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T229,2022-06-28,62,17,47,2.764705882352941,0.9701425001453319,0.3509026064355456,59,3.4705882352941178,1.2307338795828044,0.3546182364899606,7822.588235294118,553.5180731944904,0.07075894276233484,0.8127450980392157,0.13572457452767703,0.16699525454551334,7,0.14893617021276595,NA,NA,NA,15,NA,,NA,NA,NA,NA,3,11,3,KIM,43.239514,44,21.88300221,71.75084129472704,5,NA,NA,NA,NA,
T229,2022-06-30,105,29,79,2.7241379310344827,1.1617890060511336,0.4264795085504161,104,3.586206896551724,1.7630582475450018,0.491622011334664,8302.793103448275,669.9726209390066,0.08069243838687933,0.8042419266557197,0.16188228967110574,0.2012855638405487,12,0.1518987341772152,NA,NA,NA,26,NA,,NA,NA,NA,NA,3,12,4,KIM,41.7671082,42,23.3200883,65.01266936545589,5,NA,NA,NA,NA,
T229,2022-07-02,200,52,168,3.230769230769231,1.0406518435225336,0.3221065229950699,204,3.923076923076923,1.4258970873701717,0.3634639634472987,7916.7692307692305,366.57388926325996,0.04630347033971103,0.8441391941391941,0.1363263358466516,0.1614974601264304,19,0.1130952380952381,NA,NA,NA,32,NA,,NA,NA,NA,NA,3,13,5,KIM,30.6452328,27,38.36640798,27.83865067771336,5,NA,NA,NA,NA,
T230,2022-02-23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,KIM,44.23656,42,18.96505,78.5438107770662,6,NA,NA,NA,NA,NA
T230,2022-02-25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,2,2,KIM,34.48656,35,24.73118,42.47555556425926,6,NA,NA,NA,NA,NA
T230,2022-02-27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,3,3,KIM,46.6129,44,12.38172,96.40917379442759,6,NA,NA,NA,NA,NA
T230,2022-03-01,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,4,4,KIM,41.0914,40,13.24194,70.88640955768284,6,NA,NA,NA,NA,NA
T230,2022-03-03,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,5,5,KIM,27.46505,27,25,28.052473571028234,6,NA,NA,NA,NA,NA
T230,2022-05-24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,6,1,KIM,38.49727,40,23.69809,54.00981215326537,4,NA,NA,NA,NA,NA
T230,2022-05-26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,7,2,KIM,38.6694,40,24.19809,54.17319002511011,4,NA,NA,NA,NA,NA
