male,date,motif_count.x,motif_count.y,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_min,song_start_max,song_start_range,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T258,2022-07-14,45,45,14,35,2.5,1.0190493307301363,0.4076197322920545,57,4.071428571428571,0.9972489631508746,0.24493834182653063,76,1844,1768,821,614.9866790302171,0.7490702546044058,0.6071428571428571,0.1403162310235159,0.23110908639167327,3,0.08571428571428572,NA,NA,NA,10,NA,,NA,NA,NA,NA,3,2,2,KIM,39.1363135,40,25.17715232,54.880571495653406,6,NA,NA,NA,NA,
T258,2022-07-16,20,20,7,16,2.2857142857142856,0.4879500364742666,0.21347814095749165,24,3.4285714285714284,0.7867957924694432,0.22948210613692094,98,1756,1658,1183.2857142857142,546.5063934623621,0.46185497455469454,0.680952380952381,0.15378814535195373,0.22584273093643553,4,0.25,NA,NA,NA,4,NA,,NA,NA,NA,NA,3,3,3,KIM,29.6451435,27,36.96743929,26.842258761367066,6,NA,NA,NA,NA,
T258,2022-07-18,32,29,11,25,2.272727272727273,0.46709936649691375,0.20552372125864204,43,3.909090909090909,0.8312094145936335,0.21263496652395275,91,1813,1722,852,780.821362412684,0.9164569981369531,0.5878787878787879,0.0749410542770891,0.12747705108989382,3,0.12,NA,NA,NA,4,NA,,NA,NA,NA,NA,3,4,4,KIM,40.6830752,42,23.80088496,60.87832019305031,6,NA,NA,NA,NA,
T258,2022-07-22,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,NA,NA,NA,NA,3,5,5,KIM,44.833333,44,21.0378,79.02592258077833,6,NA,NA,NA,NA,
T259,2022-07-12,7,7,1,3,3,NA,NA,4,4,NA,NA,1796,1796,0,1796,NA,NA,0.75,NA,NA,1,0.3333333333333333,NA,NA,NA,4,NA,,NA,NA,NA,NA,3,1,1,KIM,33.2836645,35,30.63300221,36.530740648108484,4,16,8.7,7.3,6.2,07/20/22
T259,2022-07-14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,2,KIM,38.0077263,40,25.25883002,51.47790265088694,4,NA,NA,NA,NA,
T259,2022-07-16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,KIM,40.2378587,42,22.95584989,60.06244752089803,4,NA,NA,NA,NA,
T259,2022-07-18,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,4,4,KIM,41.6434879,44,22.05684327,65.63882230082449,4,NA,NA,NA,NA,
T259,2022-07-20,18,18,5,11,2.2,0.44721359549995793,0.20327890704543541,18,3.6,0.5477225575051661,0.15214515486254612,523,664,141,589.6,58.380647478423874,0.0990173803908139,0.6166666666666667,0.11180339887498948,0.18130280898646942,1,0.09090909090909091,NA,NA,NA,7,NA,,NA,NA,NA,NA,3,5,5,KIM,29.0198675,27,38.24172185,25.343831308428427,4,NA,NA,NA,NA,
T260,2022-07-11,43,42,17,39,2.2941176470588234,0.5878675320972554,0.25624994988854727,57,3.3529411764705883,0.9314757424772421,0.2778085547739143,552,1090,538,759,157.34675084030175,0.20730797212160967,0.692156862745098,0.08602277780131026,0.12428220022285619,2,0.05128205128205128,NA,NA,NA,3,NA,,NA,NA,NA,NA,3,1,1,KIM,37.6434928,40,25.11067853,50.53826030531714,3,15.5,8.7,7.6,6.8,07/20/22
T260,2022-07-13,74,73,24,60,2.5,0.7223151185146152,0.28892604740584604,84,3.5,0.7801894976054939,0.22291128503014113,89,683,594,264.6666666666667,152.0994144763811,0.574682926233178,0.7145833333333333,0.11623236970876893,0.16265754361576992,1,0.016666666666666666,NA,NA,NA,13,NA,,NA,NA,NA,NA,3,2,2,KIM,33.805187599999996,35,29.94426049,38.018313997481755,3,NA,NA,NA,NA,
T260,2022-07-15,65,66,22,54,2.4545454545454546,0.5096471914376255,0.20763404095606963,77,3.5,0.7400128699009549,0.21143224854312997,249,918,669,522.6363636363636,216.19954307130814,0.41367106867009734,0.7068181818181818,0.1057424107511146,0.14960341070897243,4,0.07407407407407407,NA,NA,NA,12,NA,,NA,NA,NA,NA,3,3,3,KIM,40.683223,42,22.82450331,61.65888918640085,3,NA,NA,NA,NA,
T260,2022-07-17,76,82,29,74,2.5517241379310347,0.7831350411077501,0.3069042728665507,106,3.6551724137931036,0.7688517444384896,0.21034623196902072,113,1846,1733,665.1379310344828,555.0638138434388,0.8345093370034592,0.7011494252873564,0.1502597641284178,0.21430490949462866,1,0.013513513513513514,NA,NA,NA,8,NA,,NA,NA,NA,NA,3,4,4,KIM,31.3636865,27,33.07119205,31.529280161460292,3,NA,NA,NA,NA,
T260,2022-07-19,198,181,61,143,2.3442622950819674,0.6023632874392701,0.25695217156500333,192,3.1475409836065573,0.7032321943182658,0.22342272840319902,88,1777,1689,861.5409836065573,516.2215149129455,0.5991839329012002,0.7540983606557377,0.13644479746962512,0.1809376662097203,6,0.04195804195804196,NA,NA,NA,38,NA,,NA,NA,NA,NA,3,5,5,KIM,40.9828918,44,23.11203091,62.44901469327356,3,NA,NA,NA,NA,
